SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,November-15-2024,Single Family Residential,31 Dexter Way,Asheville,NC,28804,2550000,4,4.0,Asheville,4494,243064,2006,,567,,Sold,,,https://www.redfin.com/NC/Asheville/31-Dexter-Way-28804/home/102046143,CANOPYMLS as Distributed by MLS Grid,4146998,N,Y,35.6529629,-82.5366137
PAST SALE,November-25-2024,Townhouse,182 Cherry Springs Ln Unit 1-A,Asheville,NC,28804,512000,4,3.5,The Springs Of North Asheville,1959,3920,2024,,261,82,Sold,,,https://www.redfin.com/NC/Asheville/182-Cherry-Springs-Ln-28804/unit-1-A/home/191523875,CANOPYMLS as Distributed by MLS Grid,4159032,N,Y,35.6684539,-82.589185
PAST SALE,February-7-2025,Single Family Residential,95 Beaver Dr,Asheville,NC,28804,925000,4,3.5,Asheville,2723,19166,2016,,340,,Sold,,,https://www.redfin.com/NC/Asheville/95-Beaver-Dr-28804/home/105086525,CANOPYMLS as Distributed by MLS Grid,4159939,N,Y,35.640137,-82.5730103
PAST SALE,September-26-2024,Single Family Residential,81 Greenwood Fields Dr,Asheville,NC,28804,549500,3,3.0,Greenwood Fields,1961,5662,2024,,280,25,Sold,,,https://www.redfin.com/NC/Asheville/81-Greenwood-Fields-Dr-28804/home/169927619,CANOPYMLS as Distributed by MLS Grid,4135732,N,Y,35.666235,-82.5992289
PAST SALE,,Single Family Residential,813 Olivette Rd,Asheville,NC,28804,255000,3,2.0,,1132,5227,1963,,225,,,,,https://www.redfin.com/NC/Asheville/813-Olivette-Rd-28804/home/111128658,,,N,Y,35.646181,-82.610429
PAST SALE,November-8-2024,Single Family Residential,8 Fox Rd,Asheville,NC,28804,382500,3,2.5,Asheville,1320,32670,2024,,290,,Sold,,,https://www.redfin.com/NC/Asheville/8-Fox-Rd-28804/home/191044707,CANOPYMLS as Distributed by MLS Grid,4144606,N,Y,35.6279129,-82.6119489
PAST SALE,September-25-2024,Single Family Residential,8 Bent Tree Rd,Asheville,NC,28804,1200000,4,3.5,Sunset Mountain,4192,44431,1976,,286,,Sold,,,https://www.redfin.com/NC/Asheville/8-Bent-Tree-Rd-28804/home/111286572,CANOPYMLS as Distributed by MLS Grid,4090138,N,Y,35.6169109,-82.5364473
PAST SALE,,Vacant Land,21 Villa Nova Dr,Asheville,NC,28804,135000,,,,,44431,,,,,,,,https://www.redfin.com/NC/Asheville/21-Villa-Nova-Dr-28804/home/111339536,,,N,Y,35.6592093,-82.5575752
PAST SALE,November-12-2024,Single Family Residential,13 Cogswood Rd,Asheville,NC,28804,740000,3,3.0,Sunset Mountain,1549,12196,1997,,478,,Sold,,,https://www.redfin.com/NC/Asheville/13-Cogswood-Rd-28804/home/111277846,CANOPYMLS as Distributed by MLS Grid,4146085,N,Y,35.6028539,-82.5400628
PAST SALE,February-20-2025,Single Family Residential,32 Fox Rd,Asheville,NC,28804,597500,4,4.0,Asheville,1750,18730,2023,,341,,Sold,,,https://www.redfin.com/NC/Asheville/32-Fox-Rd-28804/home/187841930,CANOPYMLS as Distributed by MLS Grid,4178297,N,Y,35.6277831,-82.6107185
PAST SALE,February-25-2025,Single Family Residential,114 Green Creek Loop,Asheville,NC,28804,442500,3,2.0,Greenwood Fields,1525,6098,2020,,290,30,Sold,,,https://www.redfin.com/NC/Asheville/114-Green-Creek-Loop-28804/home/161413556,CANOPYMLS as Distributed by MLS Grid,4179963,N,Y,35.6674256,-82.6017871
PAST SALE,November-25-2024,Townhouse,61 Walnut Springs Dr Unit 20-B,Asheville,NC,28804,380000,3,2.5,The Springs Of North Asheville,1540,1306,2024,,247,82,Sold,,,https://www.redfin.com/NC/Asheville/61-Walnut-Springs-Dr-28804/unit-20-B/home/189537360,CANOPYMLS as Distributed by MLS Grid,4146678,N,Y,35.6669768,-82.588904
PAST SALE,December-2-2024,Single Family Residential,84 Fairway Rd,Asheville,NC,28804,500000,3,2.0,Lakeview Park,1622,24829,1949,,308,40,Sold,,,https://www.redfin.com/NC/Asheville/84-Fairway-Rd-28804/unit-2004/home/111247815,CANOPYMLS as Distributed by MLS Grid,4126557,N,Y,35.6358349,-82.5530954
PAST SALE,December-20-2024,Townhouse,69 Walnut Springs Dr Unit 21-B,Asheville,NC,28804,399900,2,3.5,The Springs Of North Asheville,1726,1306,2024,,232,82,Sold,,,https://www.redfin.com/NC/Asheville/69-Walnut-Springs-Dr-28804/unit-21-B/home/191258673,CANOPYMLS as Distributed by MLS Grid,4153138,N,Y,35.667301,-82.588834
PAST SALE,February-10-2025,Condo/Co-op,27 Ridge Ter,Asheville,NC,28804,795000,2,2.0,Beaverdam Run,2645,,1986,,301,950,Sold,,,https://www.redfin.com/NC/Asheville/27-Ridge-Ter-28804/home/190558936,CANOPYMLS as Distributed by MLS Grid,4167305,N,Y,35.649463,-82.5208458
PAST SALE,November-12-2024,Vacant Land,14 Tupelo Trl,Asheville,NC,28804,560000,,,Olivette,,87120,,,,175,Sold,,,https://www.redfin.com/NC/Asheville/14-Tupelo-Trl-28804/home/185441100,CANOPYMLS as Distributed by MLS Grid,4138612,N,Y,35.6552137,-82.6109744
PAST SALE,January-22-2025,Single Family Residential,587 Country Oak Dr,Asheville,NC,28804,463840,3,2.0,Rydele Heights,1618,8363,2024,,287,35,Sold,,,https://www.redfin.com/NC/Asheville/587-Country-Oak-Dr-28804/home/191738502,CANOPYMLS as Distributed by MLS Grid,4162903,N,Y,35.6899385,-82.5856208
PAST SALE,December-11-2024,Single Family Residential,23 Wembley Rd,Asheville,NC,28804,3100000,5,4.0,Lakeview Park,3858,19166,1948,,804,,Sold,,,https://www.redfin.com/NC/Asheville/23-Wembley-Rd-28804/home/111289229,CANOPYMLS as Distributed by MLS Grid,4147445,N,Y,35.6364616,-82.5569553
PAST SALE,January-17-2025,Single Family Residential,41 Walnut Ln,Asheville,NC,28804,508000,4,4.0,Asheville,2341,7405,2016,,217,,Sold,,,https://www.redfin.com/NC/Asheville/41-Walnut-Ln-28804/home/102061496,CANOPYMLS as Distributed by MLS Grid,4135698,N,Y,35.6264079,-82.5767682
PAST SALE,February-11-2025,Single Family Residential,59 Fenner Ave,Asheville,NC,28804,640000,3,2.0,Fenner Heights,1702,6534,1926,,376,,Sold,,,https://www.redfin.com/NC/Asheville/59-Fenner-Ave-28804/home/110882668,CANOPYMLS as Distributed by MLS Grid,4167230,N,Y,35.6223763,-82.556956
PAST SALE,November-15-2024,Single Family Residential,47 Chantilly Dr,Asheville,NC,28804,1100000,3,2.0,Thoms Estate,2258,6534,2016,,487,299,Sold,,,https://www.redfin.com/NC/Asheville/47-Chantilly-Dr-28804/home/111154096,CANOPYMLS as Distributed by MLS Grid,4133000,N,Y,35.6403922,-82.5481251
PAST SALE,December-16-2024,Single Family Residential,228 Midland Dr,Asheville,NC,28804,1600000,4,4.0,Lakeview Park,3861,43560,1953,,414,46,Sold,,,https://www.redfin.com/NC/Asheville/228-Midland-Dr-28804/home/102049273,CANOPYMLS as Distributed by MLS Grid,4146095,N,Y,35.6401457,-82.5628465
PAST SALE,December-16-2024,Single Family Residential,103 Big Spring Dr,Asheville,NC,28804,952500,3,3.5,Mountain Meadows,3289,113691,1991,,290,50,Sold,,,https://www.redfin.com/NC/Asheville/103-Big-Spring-Dr-28804/home/111289310,CANOPYMLS as Distributed by MLS Grid,4141983,N,Y,35.6332057,-82.5030156
PAST SALE,January-23-2025,Single Family Residential,38 Fenner Ave,Asheville,NC,28804,795000,3,3.0,Asheville,1294,14374,1925,,614,,Sold,,,https://www.redfin.com/NC/Asheville/38-Fenner-Ave-28804/home/102046309,CANOPYMLS as Distributed by MLS Grid,4149844,N,Y,35.6219124,-82.5560076
PAST SALE,February-19-2025,Vacant Land,99999 Chimney Crest Dr Unit C9,Asheville,NC,28806,35000,,,Crest Mountain,,7405,,,,44,Sold,,,https://www.redfin.com/NC/Asheville/99999-Chimney-Crest-Dr-28804/unit-C9/home/191496084,CANOPYMLS as Distributed by MLS Grid,4155161,N,Y,35.6146178,-82.6160921
PAST SALE,January-15-2025,Single Family Residential,15 Trey Bourne Dr,Asheville,NC,28804,499000,4,2.5,River Walk,2010,11761,2010,,248,20,Sold,,,https://www.redfin.com/NC/Asheville/15-Trey-Bourne-Dr-28804/home/111230336,CANOPYMLS as Distributed by MLS Grid,4141016,N,Y,35.6346358,-82.5973553
PAST SALE,November-20-2024,Single Family Residential,28 Garland Dr,Asheville,NC,28804,1650000,4,4.0,White Oak Ridge,5038,112384,2005,,328,33,Sold,,,https://www.redfin.com/NC/Asheville/28-Garland-Dr-28804/home/102047271,CANOPYMLS as Distributed by MLS Grid,4117079,N,Y,35.6491361,-82.5446477
PAST SALE,December-6-2024,Single Family Residential,166 Brookwood Rd,Asheville,NC,28804,630000,4,3.5,Sherwood Heights,2739,22215,1968,,230,,Sold,,,https://www.redfin.com/NC/Asheville/166-Brookwood-Rd-28804/home/102034543,CANOPYMLS as Distributed by MLS Grid,4125136,N,Y,35.6487487,-82.5487998
PAST SALE,February-28-2025,Townhouse,157 Collin Pl #18,Asheville,NC,28804,543750,3,2.5,Villas at Pinecroft,1474,,2025,,369,285,Sold,,,https://www.redfin.com/NC/Woodfin/157-Collin-PL-28804/unit-18/home/191422765,CANOPYMLS as Distributed by MLS Grid,4155691,N,Y,35.64500142,-82.52719494
PAST SALE,October-23-2024,Vacant Land,52 Sweet Fern Pkwy #58,Asheville,NC,28806,269000,,,Olivette,,49222,,,,,Sold,,,https://www.redfin.com/NC/Asheville/52-Sweet-Fern-Pkwy-28804/unit-58/home/193297602,CANOPYMLS as Distributed by MLS Grid,4107742,N,Y,35.6536166,-82.6126807
PAST SALE,February-11-2025,Single Family Residential,167 Lynn Cove Rd,Asheville,NC,28804,2999999,5,3.5,Asheville,4118,613760,2001,,729,,Sold,,,https://www.redfin.com/NC/Asheville/167-Lynn-Cove-Rd-28804/home/111214933,CANOPYMLS as Distributed by MLS Grid,4135007,N,Y,35.65303,-82.5104714
PAST SALE,February-14-2025,Single Family Residential,5 Patti Ln,Asheville,NC,28804,645000,6,5.0,Asheville,3583,158558,1994,,180,,Sold,,,https://www.redfin.com/NC/Asheville/5-Patti-Ln-28804/home/111174646,CANOPYMLS as Distributed by MLS Grid,4124211,N,Y,35.6841588,-82.6038563
PAST SALE,February-25-2025,Single Family Residential,555 Country Oak Dr,Asheville,NC,28804,464310,3,2.5,Rydele Heights,2175,8145,2024,,213,35,Sold,,,https://www.redfin.com/NC/Asheville/555-Country-Oak-Dr-28804/home/190324487,CANOPYMLS as Distributed by MLS Grid,4123488,N,Y,35.6849521,-82.584302
PAST SALE,October-11-2024,Vacant Land,Lot 1 Versant Dr,Asheville,NC,28804,72500,,,Versant,,81021,,,,83,Sold,,,https://www.redfin.com/NC/Asheville/1-Versant-Dr-28804/home/111339433,CANOPYMLS as Distributed by MLS Grid,4075070,N,Y,35.65759,-82.561265
PAST SALE,January-31-2025,Single Family Residential,26 Foothills Rd,Asheville,NC,28804,548050,3,3.0,Village Greens,2384,50093,2011,,230,,Sold,,,https://www.redfin.com/NC/Asheville/26-Foothills-Rd-28804/home/111190023,CANOPYMLS as Distributed by MLS Grid,4075537,N,Y,35.662728,-82.5922762
PAST SALE,,Vacant Land,14 Chestnut Ridge Ave,Asheville,NC,28804,272500,,,,,8712,,,,,,,,https://www.redfin.com/NC/Asheville/14-Chestnut-Ridge-Ave-28804/home/110814285,,,N,Y,35.6223079,-82.575464
PAST SALE,,Mobile/Manufactured Home,120 Flynn Branch Rd,Asheville,NC,28804,92000,,,,,10890,,,,,,,,https://www.redfin.com/NC/Asheville/120-Flynn-Branch-Rd-28804/home/173295084,,,N,Y,35.6408711,-82.6043552
PAST SALE,,Vacant Land,Versant Dr,Asheville,NC,28804,72500,,,,,81022,,,,,,,,https://www.redfin.com/NC/Asheville/Versant-Dr-28804/home/111339602,,,N,Y,35.657622,-82.563219
PAST SALE,,Condo/Co-op,15 Cricket Crossing Ct,Asheville,NC,28804,160000,2,2.0,,1064,,2008,,150,,,,,https://www.redfin.com/NC/Asheville/15-Cricket-Crossing-Ct-28804/home/111027054,,,N,Y,35.6689874,-82.5959754
PAST SALE,,Mobile/Manufactured Home,137 Lynn Cove Rd,Asheville,NC,28804,100000,,,,,15246,,,,,,,,https://www.redfin.com/NC/Asheville/137-Lynn-Cove-Rd-28804/home/161413899,,,N,Y,35.6517107,-82.5128185
PAST SALE,,Single Family Residential,9 Griffing Blvd,Asheville,NC,28804,1300000,4,3.5,,4147,22651,1927,,313,,,,,https://www.redfin.com/NC/Asheville/9-Griffing-Blvd-28804/home/110999516,,,N,Y,35.6262496,-82.5465697
PAST SALE,,Single Family Residential,3 Acorn Rd,Asheville,NC,28804,330000,3,2.0,,1456,14810,1977,,227,,,,,https://www.redfin.com/NC/Asheville/3-Acorn-Rd-28804/home/111170118,,,N,Y,35.676377,-82.592168
PAST SALE,,Single Family Residential,5 Sareva Pl,Asheville,NC,28804,630000,3,2.0,,1712,21780,1953,,368,,,,,https://www.redfin.com/NC/Asheville/5-Sareva-Pl-28804/home/110819133,,,N,Y,35.6332773,-82.5730148
PAST SALE,,Vacant Land,99999 Maney Ave,Asheville,NC,28804,185000,,,,,7405,,,,,,,,https://www.redfin.com/NC/Asheville/99999-Maney-Ave-28804/home/162760175,,,N,Y,35.621947,-82.5592118
PAST SALE,,Vacant Land,159 Kalmia Dr,Asheville,NC,28804,147000,,,,,223463,,,,,,,,https://www.redfin.com/NC/Asheville/159-Kalmia-Dr-28804/home/111339333,,,N,Y,35.6535138,-82.4908816
PAST SALE,,Single Family Residential,1410 W Highway 25 70,Newport,TN,37821,250000,,1.0,,8220,72745,1958,,30,,,,,https://www.redfin.com/TN/Newport/1410-W-Highway-25-70-37821/home/117337506,,,N,Y,35.6399978,-82.5788142
PAST SALE,,Condo/Co-op,3 Ridgeview Dr,Asheville,NC,28804,660000,3,3.0,,3714,,1996,,178,,,,,https://www.redfin.com/NC/Asheville/3-Ridgeview-Dr-28804/home/110888372,,,N,Y,35.6475119,-82.5193817
PAST SALE,,Vacant Land,7 Orly Ln,Asheville,NC,28804,244000,,,,,13504,,,,,,,,https://www.redfin.com/NC/Asheville/7-Orly-Ln-28804/home/111338984,,,N,Y,35.6431636,-82.5463462
PAST SALE,,Condo/Co-op,2 Creekside Way #2,Asheville,NC,28804,665000,3,3.0,,2141,,1996,,311,,,,,https://www.redfin.com/NC/Asheville/2-Creekside-Way-28804/unit-2/home/111128694,,,N,Y,35.6389042,-82.5461657
PAST SALE,,Vacant Land,25 Culvern St,Asheville,NC,28804,127000,,,,,5663,,,,,,,,https://www.redfin.com/NC/Asheville/25-Culvern-St-28804/home/169927826,,,N,Y,35.6316755,-82.5515927
PAST SALE,,Vacant Land,12 Chestnut Ridge Ave,Asheville,NC,28804,309500,,,,,9583,,,,,,,,https://www.redfin.com/NC/Asheville/12-Chestnut-Ridge-Ave-28804/home/110989233,,,N,Y,35.622197,-82.575622
PAST SALE,,Single Family Residential,42 S Griffing Blvd,Asheville,NC,28804,885000,3,2.0,,1556,13504,1951,,569,,,,,https://www.redfin.com/NC/Asheville/42-S-Griffing-Blvd-28804/home/111214994,,,N,Y,35.6278142,-82.5419816
PAST SALE,,Other,1100 W Highway 25 70,Newport,TN,37821,3000000,,,,,171626,,,,,,,,https://www.redfin.com/TN/Newport/1100-W-Highway-25-70-37821/home/117378525,,,N,Y,35.6399978,-82.5788142
PAST SALE,,Condo/Co-op,182 Cherry Springs Ln,Asheville,NC,28804,512000,,,,,,,,,,,,,https://www.redfin.com/NC/Asheville/182-Cherry-Springs-Ln-28804/home/187842173,,,N,Y,35.6684539,-82.589185
PAST SALE,,Other,341 Baird Cove Rd,Asheville,NC,28804,398500,,,,,10454,1980,,,,,,,https://www.redfin.com/NC/Asheville/341-Baird-Cove-Rd-28804/home/110928075,,,N,Y,35.6570233,-82.5680051
